depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,flightNumber,airline,aircraftModel,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,2815.37689176,2,1417.43726795,1,873.74,4,0,0,0,4,0,0,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"TK1994","THY","A321",134.119613831,403.944127397,267.330979912,114.215016187,348.361332428,238.776244156,17.2
0,1612.04547641,2,1169.95752133,1,494.78,2,0,0,0,2,0,0,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"SN2174","BEL","A319",76.8310324636,305.688782399,243.523240377,74.6231435263,318.277155992,268.150888918,13.8833333333
1,1311.20941636,0,0,1,514.56,0,0,0,0,0,0,0,0,30.18,9000.0,7.0,2.574,1,0,0,0,0,0,0,"PK721","PIA","B77L",72.415254589,330.556995721,330.556995721,72.415254589,330.556995721,330.556995721,3.96666666667
1,2079.60705432,0,0,1,664.49,0,0,0,0,0,0,0,0,30.12,10000.0,8.0,3.0888,0,0,0,0,0,0,0,"A3638","AEE","A320",72.415254589,331.968611291,331.968611291,72.415254589,331.262803506,331.262803506,9.26666666667
0,1129.20502035,2,822.871796941,1,551.01,0,1,0,0,1,0,0,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"KL1082","KLM","B738",72.415254589,274.796033842,216.987213481,72.415254589,299.740545647,273.926371533,11.95
1,1827.25505647,0,1595.8370774,1,370.77,0,0,0,1,0,0,0,0,30.15,8000.0,9.0,4.1184,0,0,1,0,0,0,0,"null","AAL","A332",72.415254589,330.865529585,330.865529585,72.415254589,330.711262653,330.711262653,9.13333333333
1,1906.68578011,0,0,1,455.44,0,0,0,0,0,0,0,1,30.15,8000.0,9.0,4.1184,0,0,1,0,0,0,0,"MT4506","TCX","A332",72.415254589,304.767014889,304.767014889,72.415254589,317.662005305,317.662005305,6.86666666667
1,1701.18232788,0,655.085138283,1,386.24,0,0,0,0,0,0,0,0,30.15,6000.0,7.0,0.5148,1,0,0,0,0,0,0,"FI440","ICE","B752",72.415254589,310.740817636,310.740817636,72.415254589,320.648906679,320.648906679,4.25
0,2081.11851109,0,1417.43726795,1,494.85,3,1,0,0,4,0,0,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"U21949","EZY","A320",94.3104185438,305.688782399,183.011987462,83.3628365664,318.277155992,228.904010652,13.6833333333
0,2567.12077518,0,977.407659449,1,688.53,4,2,0,0,0,0,0,0,30.15,8000.0,8.0,6.1776,0,0,1,0,0,0,0,"LH2501","DLH","A320",72.415254589,274.796033842,274.796033842,72.415254589,299.740545647,299.740545647,35.45
